Scaled RGen_total,Total_scaled_target_load,Total load minus Rgen (ESUM),ESS_available_discharge_power,ESS_available_charge_power ,TS_ESS_Rgen_only_charge_vect ,TS_ESS_discharge_vect ,TS_ESS_charge_vect ,TS_ESS_Rgen_only_charge ,TS_ESS_resulting_SoC ,Pre_grid_balance,Grid Import,Grid Export,Post_grid_balace,Pre_flex_import_shortfall,Pre_mop_curtailed Export,Actual import shortfall,Actual curtailed export,Actual high priority load,Actual low priority load,Heat load,Scaled Heat load,Electrical load scaled heat,Heat shortfall,Heat surplus,Calculative execution time (s),Parameter index
0,1.1949e+06,1.1949e+06,886.907,3.4598e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0076106,20
0,1.1949e+06,1.1949e+06,886.907,2.97806e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0036235,9
0,1.1949e+06,1.1949e+06,886.907,3.67878e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0008044,25
0,1.1949e+06,1.1949e+06,886.907,2.89047e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0006526,7
0,1.1949e+06,1.1949e+06,886.907,3.28462e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0029902,16
0,1.1949e+06,1.1949e+06,886.907,3.5474e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0039762,22
0,1.1949e+06,1.1949e+06,886.907,3.37222e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0054596,18
0,1.1949e+06,1.1949e+06,886.907,3.63498e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0008296,24
0,1.1949e+06,1.1949e+06,886.907,2.6277e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0053572,1
0,1.1949e+06,1.1949e+06,886.907,3.41601e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0009988,19
0,1.1949e+06,1.1949e+06,886.907,2.71529e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0010593,3
0,1.1949e+06,1.1949e+06,886.907,3.10944e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.004395,12
0,1.1949e+06,1.1949e+06,886.907,3.72258e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0007452,26
0,1.1949e+06,1.1949e+06,886.907,2.80288e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0009127,5
0,1.1949e+06,1.1949e+06,886.907,3.81016e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0007046,28
0,1.1949e+06,1.1949e+06,886.907,3.76637e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.000668,27
0,1.1949e+06,1.1949e+06,886.907,3.06565e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0009739,11
0,1.1949e+06,1.1949e+06,886.907,3.5036e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.000754,21
0,1.1949e+06,1.1949e+06,886.907,3.89776e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0019588,30
0,1.1949e+06,1.1949e+06,886.907,3.85396e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.002189,29
0,1.1949e+06,1.1949e+06,886.907,3.98534e+06,0,450,0,0,612.727,1.19445e+06,931596,0,262771,262771,0,0,0,613232,0,366667,366667,459927,53454.3,146709,0.0023142,32
